accompagner	VERppe	accompaigné|accompaignéz|acompaignez|acompaignie|acompaignié|acompaigné|acompangiet|acompangiez|acumpaignié
accompagner	VERcjg	accompaigna|accompaignoyent|acompaignerent|acompaignierent|acompaignoie|acompaingna|aconpaigne|aconpaignent|aconpaingne
accompagner	VERinf	accompaigner|accompaignier|acompaigner|acompaignier|aconpaignier
accomparager	VERppe	acomparagie
accomparager	VERinf	acomparagier
accomplir	VERppe	acompli|acomplie|acomplies|acomplis|aconpliz|acumplie
accomplir	VERcjg	accomplit|acomplieroye|acompliray|acomplit
accomplir	VERinf	acomplir
accomplissement	NOMcom	accomplissemens|accomplissement|acomplissement
accord	NOMcom	accord|accort|acord|acort
accordance	NOMcom	acordance
accorde	NOMcom	acorde
accorder	VERcjg	accorda|accordast|accordent|accorderent|accordons|acorda|acordassent|acorde|acordent|acorderai|acorderent|acorderoit|acordez|acort
accorder	VERppe	accordee|accordez|accordé|accordées|acordee|acordees|acordez|acordé
accorder	VERinf	accorder|acorder
accorder	VERppa	accordant
accoster	VERppe	acostee|acostez
accoster	VERcjg	acoste
accoster	VERinf	acoster
accoter	VERppe	acotez|acoutee|acoutez|acoutés
accoter	VERcjg	acouta|acoute
accoter	VERinf	acoder|acouter
accouardir	VERppe	acoardi|acoardie|acoardiz
accoucher	VERcjg	acoucha
accoupler	VERcjg	acople
accourir	VERcjg	acorent|acoroit|acort|acorurent|acorut|acouroient|acoururent|acurt|aquourent
accourir	VERppa	acorant
accourir	VERppe	acoureus
accoutrer	VERppe	accoustrée|accoustréz|acostrees|acoustree|acoustrez|acoustré
accoutrer	VERinf	acoustrer
accoutumance	NOMcom	acostumance|acoustumance|acoustumances|acoustumanche
accoutumément	ADVgen	accoustumeement|acostumeemant
accoutumer	VERcjg	acustumerent
accoutumer	VERppe	acconstumeit|accoustumé|accoutuméz|aconstumeies|aconstumeit|acostumez|acostumé|acoustumee|acoustumees|acoustumé|acoustumée|acoustumés
accoutumer	VERinf	acostumer
accrocher	VERcjg	acroche
accroire	VERppe	acreü
accroire	VERcjg	acroie|acroit|acrurent
accroire	VERinf	acroire
accroissance	NOMcom	accroissances
accroissement	NOMcom	accroissement|acroissement
accroître	VERcjg	accroist|accroître|acrois|acroissoit|acroist
accroître	VERinf	accroistre|acroistre
accroître	VERppe	acreuz|acreüz
accroître	VERppa	accroissant
accueil	NOMcom	acueil
accueillir	VERcjg	accueillez|acoeillent|acoil|acoilli|acoillirent|acoilloient|acuelle|acuellent|aquialt|aquiaus|aquiaut|aquillit
accueillir	VERppe	acoillie|acoillis|aquilliz
accusation	NOMcom	accusacion|accusation
accuser	VERppe	accusees|accusé|acusee
accuser	VERcjg	accuse|acuse|acusent|acuses
accuser	VERinf	accuseir|accuser
accuser	VERppa	acusand
aceindre	VERppe	aceint
aceindre	VERcjg	aceindrons|aceingnoit|aceint
Acelin	NOMpro	acelin
Acension	NOMpro	acenssion
Acension	NOMcom	acenssion
acérer	VERppe	aceree|acherées
acertes	ADVgen	acertes
acesmement	NOMcom	acesmement
acesmer	VERppe	acesmee|acesmez
acesmer	VERcjg	achesme
acesmer	VERinf	acesmer
acète	NOMcom	azit
Achaïe	NOMpro	achaye|achaÿe
Achemannestrate	ETR	achemannestrate
acheminer	VERcjg	achemina|achemine|acheminerent|achemynèrent
acheminer	VERppe	achiminez
acheter	VERcjg	acat|acata|acatai|acatet|acatoit|acatrons|achate|achatent|achaterent|acheta|achetai|acheteroies
acheter	VERppe	acatee|acatet|achatee|achatez|achaté|acheté
acheter	VERinf	achapter|achater|achepter|acheter
achever	VERppe	achevee|achevees|achevé|acievee
achever	VERinf	achever
achever	VERcjg	acheveras|acheverent|acheverez|acheveroiz|acheveront
achier	NOMcom	archier
Achillocie	NOMpro	achilocie
achopper	VERcjg	açopa
acier	NOMcom	acer|acers|acier|aciers
acliner	ADJqua	acline
acliner	VERcjg	aclina|acline
acommengier	VERcjg	acomengent|acomenget
acommuner	VERppe	acumuniez
acompter	VERppe	acuntet|acunté
acompter	VERinf	aconter|acunter
acompter	VERcjg	aconta
aconcevoir	VERppe	aconseues
aconnoistre	VERcjg	aconurent
aconsuivir	VERinf	aconsivre
aconsuivre	VERppe	aconceu|aconseü|aconseüe
aconsuivre	VERinf	aconsivre
acor	NOMcom	acors
Acorde	NOMpro	acorde
acorer	VERppe	acoree|acorees|acoré|acurede
acorer	VERinf	acorer
acorer	VERcjg	acorez
Acorionde	NOMpro	acoridomés|acorionde|acoriundés
acquérir	VERppe	acquis|acquise|acquises|acquiz|aquis|aquise
acquérir	VERinf	acquerir|acquerre|aquerre
acquérir	VERcjg	acqueroient|acqueroit|acquerroit|acquiere|acquierent|acquiers|acquiert|acquirent|acquist|acquièrent|aquerra|aquerroie|aquit
acquêt	NOMcom	acquest
acquêter	VERinf	acquester
acquitter	VERppe	acuités|aquitee|aquitez|aquité
acquitter	VERinf	acquicter|acquiter|acquitter|aquiter
acquitter	VERcjg	acquiterent|acquittoit|aquit|aquite|aquitent|aquiterai
acravanter	VERppa	agraventant
acravanter	VERinf	acravanter|acraventer
acravanter	VERppe	aggravanté
acravanter	VERcjg	acraventet
acravanteur	NOMcom	acraventerres
acréanter	VERppe	acreantee|acreanté
acréanter	VERcjg	acreant|acreante|acreantez|acreanz
acteur	NOMcom	acteur
Acy	NOMpro	acy
Adam	NOMpro	adam|adan|adanz|ades
Adelstan	NOMpro	adelstan|aedelstan
Adenet	NOMpro	adenet
adens	ADVgen	adenz
adès	ADVgen	ades|adez|adès|adés
adeser	VERinf	adeser
adeser	VERcjg	adeiset|adeist|adesa|adesast|adeserent|adoise|adoist
adeser	VERppe	adeset
adesséement	ADVgen	adesseement
adevancir	VERcjg	adevancirent
adextrer	VERcjg	adestre
adextrer	VERppa	adestrant
adhérent	NOMcom	adherens
adhérer	VERinf	adherer
adhésion	NOMcom	adhesion
adieu	NOMcom	adieu
adirer	VERppe	adirez
adjacent	ADJqua	adjacens
adjoindre	VERppe	adjoins|ajoint
adjoindre	VERcjg	aioinst|ajoindent
adjoindre	VERinf	ajoindre
adjoindre	VERppa	aioinz
adjuger	VERppe	adjugié|adjugiée
adjutoire	NOMcom	adjutorie
admettre	VERppe	amis|amise
admettre	VERcjg	amet|ametez|ametoient|amist
administrateur	NOMcom	administrateurs
administration	NOMcom	administracion
administrer	VERcjg	amenistroient
administrer	VERinf	administrer
admirable	ADJqua	admirable
admonestement	NOMcom	admonestement|admonnestement|amonestemant|amonestemens|amonestement|amonestemenz|amonnestemens|amonnestement
admonester	VERcjg	admoneste|admonneste|amonesta|amoneste|amonestoit|amonestot|amonnesta|amonnestoit
admonester	VERppe	amonestee|amonestees|amonesté|amonestéz|amonnestés
admonester	VERinf	amonester
admonition	NOMcom	ammonition|amonicion|amonicions
adonc	ADVgen	adon|adonc|adoncq|adoncques|adoncquez|adonques|adons|adont|adun
adonner	VERppe	adonee|adonnee|adonné
adorer	VERinf	adorer|aorer
adorer	VERppe	adhoraz|aorez
adorer	VERcjg	ador|adorent|ahora|aora|aore|aorerai
adornement	NOMcom	adournement|aornemenz
adorner	VERppe	aornez
adosser	VERppe	adossez|adossé
adoub	NOMcom	adub
adouber	VERppe	adobez|adobé|adoubée|adubees|adubez
adouber	VERinf	adober|aduber
adouber	VERcjg	adoba|adoberoit|adubent|adubet|adubez
adoucer	VERppe	adoulchié
adoucir	VERinf	adolcir|adoulcir
adoucir	VERppe	adoulciz
adouler	VERppe	adolez|adollé|adolés|adoulee
adresse	NOMcom	adresce
adressement	NOMcom	adrecement
adresser	VERppe	adrecees|adrechié|adreciee|adreciez|adrecié
adresser	VERcjg	adercent|adrece|adrecent|adresce|adressa|adressat|adressoit|adreça|adreçoyent
adresser	VERinf	adrechier|adrecier
adroit	ADJqua	adroit|adroite|adroitz|adroiz
aduire	VERinf	adducere
aduner	VERcjg	adunat|adunent|adunouent|annouent
aduner	VERppe	adunet
adurer	VERppe	aduree
adurer	ADJqua	adurez
advenir	VERinf	advenir|avenir
advenir	VERcjg	advenoient|advenoit|adviendra|adviengne|adviennent|advient|advindrent|advint|auenget|auenist|auint|avendra|avendrat|avendreit|avendroit|avendront|avenissent|avenist|avenoit|avent|aviegne|aviendra|avienent|avienget|aviengne|aviengë|aviennent|avient|avigne|avindrent|avint
advenir	VERppe	advenu|advenuz|auenues|avenu|avenue|avenues|avenuez|avenus|avenut|avenuz
advenir	VERppa	auenant|avenant
adversaire	NOMcom	aduersaire|adversaire|adversaires|adversarie|adversaries|aversaire|aversaires
adverse	ADJqua	adverse|averse
adversier	NOMcom	averser|aversers|aversier
adversité	NOMcom	adversitez|adversité|aversitez|aversité
aé	NOMcom	ahé
Aelis	NOMpro	aelis|alis
Aelroth	NOMpro	aëlroth
aemplir	VERppe	aempli|aemplie|aenpliz
aemplir	VERcjg	ademplirai|aempli|aemplirai|aemplit
aemplir	VERinf	ademplir|aemplir
aerdre	VERcjg	aerdent|aerdi|aerdirent|aerst|aert|aherdent|ahert
aerdre	VERinf	aerdre|aherdre
aerdre	VERppa	aherdant
aerdre	VERppe	aers
aeschier	VERcjg	aeschoit
aesmer	VERcjg	aesme
aesmer	VERppe	aesmez
afétardir	VERinf	affetardir
affaiblir	VERcjg	afeblissent|afiebliseit|afoibli
affaiblir	VERppe	afebli|afeblie|affebli|affoiblie|afieblie|afoibliz|afoibly
